Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
WT1YUB01,"1 year urine weight - Fay's BRR 01","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 01",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB02,"1 year urine weight - Fay's BRR 02","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 02",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB03,"1 year urine weight - Fay's BRR 03","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 03",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB04,"1 year urine weight - Fay's BRR 04","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 04",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB05,"1 year urine weight - Fay's BRR 05","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 05",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB06,"1 year urine weight - Fay's BRR 06","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 06",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB07,"1 year urine weight - Fay's BRR 07","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 07",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB08,"1 year urine weight - Fay's BRR 08","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 08",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB09,"1 year urine weight - Fay's BRR 09","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 09",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB10,"1 year urine weight - Fay's BRR 10","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 10",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB11,"1 year urine weight - Fay's BRR 11","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 11",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB12,"1 year urine weight - Fay's BRR 12","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 12",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB13,"1 year urine weight - Fay's BRR 13","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 13",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB14,"1 year urine weight - Fay's BRR 14","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 14",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB15,"1 year urine weight - Fay's BRR 15","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 15",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB16,"1 year urine weight - Fay's BRR 16","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 16",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
